letter	frequency
01	0.00010
02	0.00010
03	0.00010
04	0.00010
05	0.01115
06	0.03274
07	0.01411
08	0.02127
09	0.00009
10	0.00010
11	0.00009
12	0.01346
13	0.02321
14	0.05891
15	0.03306
16	0.04615
17	0.01218
18	0.03655
19	0.04328
20	0.05155
21	0.04094
22	0.03445
23	0.03614
24	0.02938
25	0.02697
26	0.02395
27	0.01837
28	0.02065
29	0.02131
30	0.02029
31	0.01981
32	0.01919
33	0.02153
34	0.01569
35	0.00344
36	0.00942
37	0.01469
38	0.00010
39	0.00853
40	0.01791
41	0.01731
42	0.01718
43	0.01732
44	0.01747
45	0.01580
46	0.01736
47	0.01742
48	0.00718
49	0.01546
50	0.01989
51	0.01982
52	0.01676
